Song_Name,Album_name,Artist_name,Album_album_type,Album_id,Album_image,Album_label,Album_popularity,Album_release,Album_total_tracks,Artist_followers,Artist_genres,Artist_id,Artist_images,Artist_popularity,Song_Explicit,Song_Top_Tags_lfm,Song_acousticness,Song_danceability,Song_duration_ms,Song_energy,Song_id,Song_instrumentalness,Song_key,Song_liveness,Song_loudness,Song_mode,Song_popularity,Song_speechiness,Song_tempo,Song_time_signature,Song_track_number,Song_valence,Artist_image
Groupies,Groupies,Doode,single,6GyknQiPJF4HKS85cxB5Wi,https://i.scdn.co/image/ab67616d0000b273847f76f5566febf6de644c26,Sony Music Entertainment,70,2021-09-28,1,20147,[],3Ns5FA1ANQOzsHLWspsrC6,,63,False,,0.239,0.845,164571,0.655,3ua3rqwBNmeGeQfcKnA3bT,0.0,5,0.0974,-5.137,0,77,0.0612,139.955,4,1,0.516,https://i.scdn.co/image/ab6761610000e5ebfb532bf5815c2dfc9a8f1c6b
Se Joga no Passinho,Se Joga no Passinho,Brisa Star,single,53gP1xGYGu9DHjiJB4Jo7t,https://i.scdn.co/image/ab67616d0000b27361722b55638ad4b493437e6e,Brisa Star,68,2021-06-18,1,153655,"['arrocha', 'forro']",7fKfVo62Yx50GtTdIgeBqk,,66,False,,0.391,0.654,200000,0.83,41pFFOnh1glVNIlrWOpBjb,1.37e-05,11,0.032,-3.052,0,75,0.0467,168.0,4,1,0.866,https://i.scdn.co/image/ab6761610000e5eb9fc083dd8de1f21b257734a8
Cena de Amor,Cena de Amor,Brisa Star,single,7x46uFO4ntA1LfbJt2VP3Y,https://i.scdn.co/image/ab67616d0000b273a8d944aec807d152b6af96d4,Sony Music Entertainment,69,2021-07-29,1,153655,"['arrocha', 'forro']",7fKfVo62Yx50GtTdIgeBqk,,66,False,,0.0711,0.632,222000,0.888,6RMYuqlTn8777j5arY9zhC,0.114,8,0.116,-2.955,1,76,0.0437,159.998,4,1,0.961,https://i.scdn.co/image/ab6761610000e5eb9fc083dd8de1f21b257734a8
Doutora 3,Funk é Nóis GR6 3.1 - Vol. 1,Mc Kevin,compilation,6pM2v9vda24Hils9lqCLeU,https://i.scdn.co/image/ab67616d0000b27333bfb3d3baa54942fca16191,GR6 Music,67,2021-03-31,17,3662877,"['funk carioca', 'funk ostentacao', 'funk paulista']",5pBMkZNIlbGTH3hrsQJqAa,,77,False,,0.11,0.882,157088,0.419,4DWKtQVURjepn8uzBgmwuv,0.0,7,0.215,-11.967,1,73,0.11,109.912,4,1,0.163,https://i.scdn.co/image/ab6761610000e5ebb06e5154fd790f685c9b2a2a
Easy On Me,Easy On Me,Adele,single,224jZ4sUX7OhAuMwaxp86S,https://i.scdn.co/image/ab67616d0000b27350dba34377a595e35f81b0e4,Columbia,88,2021-10-14,1,34992768,"['british soul', 'pop', 'pop soul', 'uk pop']",4dpARuHxo51G3z768sgnrY,,92,False,,0.578,0.604,224695,0.366,0gplL1WMoJ6iYaPgMCL0gX,0.0,5,0.133,-7.519,1,95,0.0282,141.981,4,1,0.13,https://i.scdn.co/image/ab6761610000e5eb68f6e5892075d7f22615bd17
Rasteira - Ao Vivo,Manifesto Musical (Ao Vivo / Vol. 1),Henrique & Juliano,single,34C5pWtJWvLUfKoIZTNrug,https://i.scdn.co/image/ab67616d0000b273c750f88b216803f4b467de83,Virgin Music Label And Artist Services (S&D),75,2021-09-17,5,14554617,"['arrocha', 'sertanejo universitario']",3p7PcrEHaaKLJnPUGOtRlT,,85,False,,0.528,0.593,189007,0.692,685gjMmRjwLFrtCWtF2sXo,0.0,7,0.863,-5.364,0,77,0.042,106.046,4,3,0.598,https://i.scdn.co/image/ab6761610000e5eb3f3fa33960346d34155cc631
Passatempo,WS Sem Limites,Wesley Safadão,album,5EopJnJifkrGKt7jyRZonH,https://i.scdn.co/image/ab67616d0000b273a97131f66f8c479c9b17cb1f,Som Livre,70,2021-06-17,9,10591967,"['arrocha', 'forro', 'sertanejo pop']",1AL2GKpmRrKXkYIcASuRFa,,80,False,,0.193,0.716,162237,0.817,3ibiPPqHxdmX4nNp4kNHE9,0.0,7,0.071,-8.206,0,67,0.0569,160.047,4,3,0.928,https://i.scdn.co/image/ab6761610000e5eb471f55511bcf90942ecc02cd
Namorando Com Saudade,Tudo Em Paz,Jorge & Mateus,album,57h6WHDjwNGIs5NMeKYEoL,https://i.scdn.co/image/ab67616d0000b273f31a4cd4fcf00749d0d49422,Som Livre,80,2021-04-22,15,16237746,"['arrocha', 'sertanejo', 'sertanejo universitario']",1elUiq4X7pxej6FRlrEzjM,,83,False,,0.312,0.678,174081,0.839,6m84TzSTM5nbwZxIxkYHz6,0.0,2,0.0718,-3.78,1,77,0.113,156.057,4,3,0.798,https://i.scdn.co/image/ab6761610000e5ebd43977ee9db55f8155d3161b
Troca,Tudo Em Paz,Jorge & Mateus,album,57h6WHDjwNGIs5NMeKYEoL,https://i.scdn.co/image/ab67616d0000b273f31a4cd4fcf00749d0d49422,Som Livre,80,2021-04-22,15,16237746,"['arrocha', 'sertanejo', 'sertanejo universitario']",1elUiq4X7pxej6FRlrEzjM,,83,False,,0.647,0.758,171264,0.697,6HV630GY0GT3RN2efFRmbP,0.0,1,0.0887,-4.103,1,76,0.0347,94.98,4,2,0.81,https://i.scdn.co/image/ab6761610000e5ebd43977ee9db55f8155d3161b
Paradigmas,Tudo Em Paz,Jorge & Mateus,album,57h6WHDjwNGIs5NMeKYEoL,https://i.scdn.co/image/ab67616d0000b273f31a4cd4fcf00749d0d49422,Som Livre,80,2021-04-22,15,16237746,"['arrocha', 'sertanejo', 'sertanejo universitario']",1elUiq4X7pxej6FRlrEzjM,,83,False,,0.322,0.686,157355,0.789,17UfXrL7Run3GyZJW4uRjC,0.0,1,0.4,-4.103,1,66,0.126,157.932,4,10,0.822,https://i.scdn.co/image/ab6761610000e5ebd43977ee9db55f8155d3161b
Só Não Divulga,Só Não Divulga,Fernando & Sorocaba,single,007jctHYAC50QpRyU3Cnj2,https://i.scdn.co/image/ab67616d0000b27367d31043d16d7fb56fd22057,Sony Music Entertainment,69,2021-02-25,1,3667284,"['arrocha', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']",1oSgjdbgLYULVmEBojPRw8,,68,False,,0.665,0.553,160477,0.785,3HquWF2pZmWYu3WAEP9Heb,0.0,3,0.445,-4.099,0,76,0.0682,75.852,4,1,0.914,https://i.scdn.co/image/ab6761610000e5eb559e156e58788fbf51aa65dd
"Não, Não Vou",Piseiro Sofrência,Mari Fernandez,album,2R2HWZn66G6ReXgB9Zs4wl,https://i.scdn.co/image/ab67616d0000b273db62f496b5c0b0c65972b39a,Sony Music Entertainment,71,2021-04-29,10,275207,"['arrocha', 'arrochadeira', 'sertanejo pop']",0BHm7qbh3ENxvXzkQAG7MP,,76,False,,0.427,0.631,173038,0.861,3jSG8oE8doxDxmpe5GlFee,0.000119,11,0.215,-1.891,0,76,0.0424,149.95,4,2,0.822,https://i.scdn.co/image/ab6761610000e5eb924429b3cf07aa71d639f448
Batom de Cereja - Ao Vivo,"Aqui e Agora, Vol.1 (Ao Vivo)",Israel & Rodolffo,album,40T4QuY2o5FmisyJf3AlEf,https://i.scdn.co/image/ab67616d0000b2739726aea0a29b86961db39a23,Som Livre,73,2021-01-29,9,1447472,"['arrocha', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']",41QLxRXlc2NwfJZkHGHKid,,77,False,,0.556,0.606,140942,0.908,2MZQAvsA7aZDssppBLRxYp,0.0,6,0.19,-6.201,0,77,0.0565,171.966,4,1,0.798,https://i.scdn.co/image/ab6761610000e5eba6e6e5ae5db56c591b7fe2ed
Faz Amor Comigo Só Hoje,Aqui e Agora Deluxe,Israel & Rodolffo,album,54c8GDhgvX3nFdqUhLG5lD,https://i.scdn.co/image/ab67616d0000b2738b17bcd0d29982ed355bbbf7,Som Livre,64,2021-08-20,19,1447472,"['arrocha', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']",41QLxRXlc2NwfJZkHGHKid,,77,False,,0.3,0.624,148228,0.922,5ItttPiqUksUE240dJ9DT6,0.0,1,0.112,-4.628,0,62,0.0439,164.819,4,2,0.884,https://i.scdn.co/image/ab6761610000e5eba6e6e5ae5db56c591b7fe2ed
Melhor Que Muita Gente,Aqui e Agora Deluxe,Israel & Rodolffo,album,54c8GDhgvX3nFdqUhLG5lD,https://i.scdn.co/image/ab67616d0000b2738b17bcd0d29982ed355bbbf7,Som Livre,64,2021-08-20,19,1447472,"['arrocha', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']",41QLxRXlc2NwfJZkHGHKid,,77,False,,0.57,0.719,161520,0.806,2rFQnkqRVcpKkMj1oLPMyb,0.0,9,0.145,-4.556,0,66,0.0566,113.929,4,5,0.714,https://i.scdn.co/image/ab6761610000e5eba6e6e5ae5db56c591b7fe2ed
